date,close,SECID
2017-05-11,142.0,ABRD
2017-05-12,,ABRD
2017-05-15,,ABRD
2017-05-16,139.5,ABRD
2017-05-17,,ABRD
2017-05-18,138.5,ABRD
2017-05-19,141.5,ABRD
2017-05-22,138.0,ABRD
2017-05-23,140.5,ABRD
2017-05-24,,ABRD
2017-05-25,154.0,ABRD
2017-05-26,,ABRD
2017-05-29,150.0,ABRD
2017-05-30,,ABRD
2017-05-31,148.0,ABRD
2017-06-01,,ABRD
2017-06-02,,ABRD
2017-06-05,150.0,ABRD
2017-06-06,148.0,ABRD
2017-06-07,,ABRD
2017-06-08,,ABRD
2017-06-09,135.0,ABRD
2017-06-13,138.5,ABRD
2017-06-14,,ABRD
2017-06-15,135.0,ABRD
2017-06-16,,ABRD
2017-06-19,,ABRD
2017-06-20,152.0,ABRD
2017-06-21,185.0,ABRD
2017-06-22,160.0,ABRD
2017-06-23,171.0,ABRD
2017-06-26,190.0,ABRD
2017-06-27,175.0,ABRD
2017-06-28,200.0,ABRD
2017-06-29,198.5,ABRD
2017-06-30,188.0,ABRD
2017-07-03,178.5,ABRD
2017-07-04,174.0,ABRD
2017-07-05,163.5,ABRD
2017-07-06,179.5,ABRD
2017-07-07,,ABRD
2017-07-10,,ABRD
2017-07-11,,ABRD
2017-07-12,172.0,ABRD
2017-07-13,168.0,ABRD
2017-07-14,170.0,ABRD
2017-07-17,167.0,ABRD
2017-07-18,175.0,ABRD
2017-07-19,183.5,ABRD
2017-07-20,205.0,ABRD
2017-07-21,211.5,ABRD
2017-07-24,203.0,ABRD
2017-07-25,200.0,ABRD
2017-07-26,188.5,ABRD
2017-07-27,184.5,ABRD
2017-07-28,180.0,ABRD
2017-07-31,177.5,ABRD
2017-08-01,174.0,ABRD
2017-08-02,174.5,ABRD
2017-08-03,,ABRD
2017-08-04,,ABRD
2017-08-07,166.5,ABRD
2017-08-08,176.5,ABRD
2017-08-09,176.0,ABRD
2017-08-10,174.0,ABRD
2017-08-11,172.0,ABRD
2017-08-14,170.0,ABRD
2017-08-15,167.0,ABRD
2017-08-16,164.5,ABRD
2017-08-17,,ABRD
2017-08-18,156.0,ABRD
2017-08-21,,ABRD
2017-08-22,160.0,ABRD
2017-08-23,158.0,ABRD
2017-08-24,,ABRD
2017-08-25,166.5,ABRD
2017-08-28,153.0,ABRD
2017-08-29,160.0,ABRD
2017-08-30,165.0,ABRD
2017-08-31,169.0,ABRD
2017-09-01,167.5,ABRD
2017-09-04,164.0,ABRD
2017-09-05,160.5,ABRD
2017-09-06,163.0,ABRD
2017-09-07,,ABRD
2017-09-08,172.0,ABRD
2017-09-11,176.5,ABRD
2017-09-12,175.0,ABRD
2017-09-13,178.5,ABRD
2017-09-14,,ABRD
2017-09-15,,ABRD
2017-09-18,177.0,ABRD
2017-09-19,177.0,ABRD
2017-09-20,179.5,ABRD
2017-09-21,,ABRD
2017-09-22,178.5,ABRD
2017-09-25,178.0,ABRD
2017-09-26,175.0,ABRD
2017-09-27,,ABRD
2017-09-28,164.5,ABRD
